id,content,note
91,go home candidate,0
92,seems like candidate really impressed coach tonight,4
93,candidate completely screwd up tonight,0
94,don't know what to think about candidate,2.5
95,candidate disapointing,1
96,the song didn't suit candidate,2
97,candidate has a lovely voice,4
98,candidate is brilliant,4.5
99,candidate was brillant,4.5
100,great choice candidate,4
101,I thought candidate sang superbly,5
102,I wasn’t ready to cry candidate,4.5
103,candidate definitely has to go through,5
104,candidate isn't sounding very genuine,1
105,candidate got a lovely voice,4
106,keep candidate in,4.5
107,candidate great voice,4.5
108,candidate was a headache and a half,0
109,candidate seems to be visually transforming into Michael Jackson,2.5
110,outstanding candidate,4.5
111,OMG my heart broke for candidate,5
112,Pure raw emotion in candidate's performance,5
113,candidate's dad would be very very proud,4.5
114,candidate deserves to go through,5
115,candidate is fuckin shit,0
116,Tears with and for candidate right now,4
117,candidate sing like a karaoke,1
118,candidate's performance was disgusting,0
119,i really like candidate,4.5
120,Oh my heart candidate,5
121,candidate I don’t think I can handle any more emotion tonight,4
122,such a raw performance from candidate,4.5
123,Amazing performance loved candidate,4.5
124,wow candidate that was phenominal,5
125,"Powerful, emotional, sensational candidate",5
126,What a way to honour candidate's late father,5
127,What a vocal candidate,4.5
128,I am in love with candidate,5
129,Terrible song choice candidate,1
130,Hit mute canidate,0
131,candidate is awful,0
132,candidate is totally ruining the song,0
133,Not sure candidate is quite reaching the notes,1.5
134,God damn that was a fine version candidate,4.5
135,well done candidate,4.5
136,hated that candidate,0
137,my ears bleed candidate,0
138,candidate look like Michael Jackson,2.5
139,Oh candidate i wanted more,4
140,Really liking candidate,4.5
141,I love candidate he's so lovely,5
142,Aww bless candidate,4.5
143,Perfect song for candidate,4
144,candidate Nah sorry,0
145,candidate is really good,4.5
146,candidate absolutely heartbreaking,5
147,candidate has the purest soul,4
148,how talented candidate are,4.5
149,Had the pleasure of hearing candidate,4
150,go on candidate,4.5
151,candidate looks like a popstar,4.5
152,come on candidate,5
153,I'm just in love with everything about candidate,5
154,candidate is smashing this,4.5
155,candidate good vocals,4
156,candidate's performance gave us all the feels,4.5
157,Loving candidate,5
158,So raw candidate,5
159,So authentic candidate,5
160,Pure talent candidate,5
161,Huge talent candidate,5
162,So talented candidate,5
163,The best performance though was from candidate,4.5
164,In tears watching candidate,5
165,please put candidate through,5
166,How absolutely awful candidate,0
167,Disappointed candidate,0.5
168,voting candidate,5
169,candidate did it for me,5
170,candidate is looking good ,3.5
171,candidate is definitely one of the greatest vocalist of our time,5
172,candidate was the best voice as it is a voice competition,5
173,candidate is absolute musical genius,5
174,happy birthday candidate,2.5
175,the best candidate,5
176,i love candidate,5
177,What a way to open the show candidate,4.5
178,Ooh loved that candidate running,4.5
179,love you candidate,5
180,candidate is so precious,4
181,candidate brings the energy with his cover,4
182,congrats candidate,5
183,i am a fan of candidate,5
184,can't wait to see candidate tonight,5
185,candidate is my fave,5
186,you did great candidate,4.5
187,good luck to candidate,4
188,Looking forward to seeing what candidate do tonight,4
189,everyone is rooting for you candidate,5
190,so proud candidate,5
191,love all the song of candidate,5
192,love candidate,5
193,candidate is absolutely gorgeous,4
194,so talented candidate,5
195,i don't want to listen to candidate,0
196,so much exitement before seeing candidate,5
197,candidate's talent is insane,5
198,save candidate please,5
199,candidate has to go to the final,5
200,final is waiting for candidate,4.5
